hour,weight,q_act,p_act,wind1,wind2
1,14,7040.723,37.02375,4414.237,1787.752
2,29,7243.412,44.82014,4744.391,2245.37
3,24,7447.5,50.50716,5053.796,2660.092
4,10,7606.907,56.58275,4388.978,1171.047
5,13,7812.014,49.64889,4925.398,2038.783
6,17,7988.332,46.42355,5048.791,2109.25
7,8,8228.816,59.57977,6341.991,4455.167
8,24,8413.794,53.69181,6195.235,3976.677
9,27,8618.616,47.76084,6147.027,3675.438
10,26,8813.295,37.91612,6113.587,3413.879
11,25,8997.145,44.97668,6904.824,4812.504
12,30,9184.319,50.25569,6430.753,3677.186
13,31,9372.878,46.36594,7254.568,5136.259
14,38,9582.792,45.75247,7313.345,5043.897
15,49,9780.213,42.42217,7811.956,5843.699
16,55,9965.035,49.24172,7669.792,5374.548
17,54,10169.22,46.48243,8169.311,6169.401
18,67,10363.25,48.12771,7849.183,5335.113
19,73,10548.55,50.06572,8365.647,6182.742
20,66,10739.77,47.27248,8440.552,6141.329
21,91,10944.27,45.39072,8922.228,6900.181
22,99,11146.67,50.24063,8965.947,6785.226
23,81,11333.23,54.82746,9154.4,6975.576
24,65,11518.14,51.02254,9334.268,7150.394
25,73,11719.55,47.81849,9715.276,7710.999
26,68,11916.82,50.17071,9973.393,8029.969
27,63,12121.05,58.50991,10103.09,8085.123
28,80,12303.58,56.75924,10280.06,8256.53
29,94,12505.56,59.6964,10498.48,8491.403
30,89,12699.92,55.46427,10448.4,8196.891
31,105,12894.96,61.00586,10510.85,8126.73
32,102,13088.71,62.19036,10757.8,8426.9
33,109,13279.84,64.54504,11431.29,9582.728
34,94,13471.96,58.18586,11132.59,8793.217
35,88,13672.41,59.47305,11167.82,8663.237
36,64,13850.52,58.4179,11348.56,8846.596
37,47,14065.18,56.54961,11520.25,8975.333
38,34,14236.16,56.98782,11649.4,9062.639
39,18,14435.17,66.82229,12246.58,10057.98
40,14,14636.24,59.20056,12726.72,10817.2
41,5,14842.87,49.03076,11419.63,7996.386
42,2,15026.77,47.95459,14414.37,13801.97
43,9,15242.34,60.35159,13508.68,11775.01
44,2,15450.6,53.99309,13120.25,10789.9
45,1,15707.24,81.4984,13815.84,11924.44
46,3,15804.46,71.70461,13529.73,11254.99
47,1,15970.18,53.46822,15744.28,15518.38
48,1,16186.16,61.85586,13165.76,10145.36
49,1,16424.47,54.76714,16137.17,15849.87
50,1,16691,99.47439,16404.8,16118.6
51,21,6021.771,37.63203,1491.747,0
52,15,6383.454,50.80175,2776.914,0
53,17,6665.634,45.97092,4240.087,1814.54
54,34,7016.979,39.89008,4189.976,1362.973
55,54,7302.706,49.17117,4299.171,1295.636
56,56,7643.245,44.14442,4691.76,1740.274
57,58,7984.748,53.99703,4714.296,1443.844
58,70,8285.902,46.71658,5509.922,2733.942
59,91,8617.559,44.65711,6203.155,3788.752
60,88,8937.891,58.02289,6524.644,4111.397
61,85,9281.621,48.12549,6974.665,4667.708
62,99,9583.165,44.73884,7060.815,4538.466
63,90,9909.349,57.94757,7596.474,5283.6
64,97,10224.68,52.52327,8049.152,5873.623
65,86,10538.89,52.70404,8523.049,6507.211
66,96,10867.14,54.29597,8925.177,6983.211
67,71,11217.37,56.93161,9187.603,7157.838
68,57,11524.3,59.75914,9949.989,8375.673
69,99,11846.53,54.37294,10067.87,8289.201
70,114,12166.77,61.87572,10624.64,9082.52
71,150,12504.31,55.85033,10947.89,9391.478
72,118,12793.05,54.58567,11075.96,9358.879
73,112,13123.72,58.37072,11797,10470.28
74,62,13450.98,55.39726,12224.81,10998.63
75,57,13759.59,64.4357,12111.76,10463.92
76,33,14072.65,67.45652,12644.9,11217.15
77,25,14405.06,71.94479,12424.45,10443.85
78,17,14705.58,59.76802,12911.93,11118.28
79,16,15059.64,60.97669,13246.64,11433.64
80,8,15367.19,87.51368,14205.18,13043.17
81,13,15755.21,102.2936,14259.56,12763.91
82,23,16034.29,78.94443,14684.95,13335.6
83,10,16400.3,54.04395,15425.34,14450.38
84,16,16661.47,68.14298,15562.6,14463.74
85,18,16983.08,86.78905,15508.27,14033.47
86,14,17359.04,68.57275,16344.84,15330.64
87,10,17677.84,57.44083,16604.61,15531.38
88,13,17906.82,81.5831,16813.42,15720.02
89,15,18283.85,64.38248,16761.11,15238.38
90,18,18678.39,63.89027,18242.73,17807.06
91,11,18907.97,96.35667,17462.61,16017.25
92,6,19309.44,40.9124,19050.95,18792.47
93,6,19555.75,70.4887,18023.23,16490.71
94,4,20015.37,69.21373,18175.82,16336.27
95,2,20179.57,126.2507,17196.27,14212.97
96,2,20590.18,66.33804,17023.03,13455.88
97,3,20795.09,62.85913,17913.79,15032.49
98,1,21088.39,68.35366,17394.59,13700.79
99,1,21376.04,78.36045,18136.54,14897.04
100,2,21858.61,71.63363,18525.86,15193.11
101,20,9404.206,46.96791,5967.651,2531.096
102,29,9810.352,45.7649,6785.148,3759.945
103,71,10268.31,37.27606,7521.074,4773.836
104,65,10663.33,43.98592,8183.914,5704.5
105,71,11082.03,39.86462,8817.525,6553.017
106,94,11495.2,40.12341,8903.489,6311.776
107,109,11912.88,53.8647,9605.457,7298.038
108,88,12310.86,50.04525,10141,7971.137
109,81,12752.69,51.17352,10871.08,8989.479
110,83,13181.02,54.40013,11177.58,9174.141
111,88,13603.64,51.41206,11989.11,10374.57
112,90,14035.96,60.19984,12424.34,10812.72
113,92,14450.95,52.45563,12937,11423.04
114,82,14844.04,50.46335,13294.65,11745.26
115,87,15304.06,55.51505,13924.02,12543.97
116,70,15712.97,56.698,14220.82,12728.68
117,53,16136.94,58.06586,14727.71,13318.47
118,73,16525.67,56.99448,15187.15,13848.63
119,66,16971.36,55.70251,15569.64,14167.92
120,54,17392.85,54.5601,16236.21,15079.58
121,44,17792.57,51.38371,16410.88,15029.18
122,42,18265.66,65.33908,17004.65,15743.64
123,57,18641.88,52.23443,17642.33,16642.78
124,39,19083.82,52.47246,17853.56,16623.3
125,52,19492.13,59.19975,18547.79,17603.44
126,44,19908.03,57.04486,18999.26,18090.49
127,35,20354.79,53.95882,19346.56,18338.33
128,37,20750.21,60.29406,19812.07,18873.92
129,38,21188.43,54.00402,19959.35,18730.28
130,31,21594.46,51.09541,20210.4,18826.33
131,32,22007.91,51.76043,20958.01,19908.1
132,41,22460.36,55.85178,21359.55,20258.75
133,19,22887.28,49.31106,21493.95,20100.61
134,38,23340.95,50.01351,22531.19,21721.43
135,27,23697.41,55.67431,22257.2,20817
136,21,24146.71,56.07378,23454.68,22762.65
137,22,24558.66,48.5172,23644.92,22731.18
138,9,24965.98,52.9501,24040.21,23114.43
139,9,25417.35,55.62957,25034.04,24650.73
140,12,25870.92,65.15272,25208.49,24546.07
141,12,26233.71,52.90597,25856.54,25479.36
142,9,26702.78,45.53713,26461.46,26220.14
143,19,27087.84,48.78919,26579.71,26071.58
144,7,27517.18,55.7868,27181.45,26845.72
145,9,27964,52.99012,27571.83,27179.65
146,8,28356.56,47.85273,28004.45,27652.34
147,5,28763.01,70.7372,28545.89,28328.77
148,11,29171.57,54.53127,28891.33,28611.1
149,6,29566.57,53.44472,29272.82,28979.07
150,7,29985.33,51.24941,29616.63,29247.93
151,2,8712.665,38.34801,7936.815,7160.965
152,2,9041,38.30429,8296.5,7552
153,2,9127.939,36.5088,7823.04,6518.14
154,6,9440.525,26.59171,8035.259,6629.992
155,10,9656.977,33.41401,8659.137,7661.297
156,13,9837.303,39.12567,8623.864,7410.426
157,24,10080.81,43.66612,8020.897,5960.981
158,24,10295.29,42.02158,8707.84,7120.395
159,25,10527.39,40.47265,8704.959,6882.531
160,63,10731.37,43.70363,9304.503,7877.635
161,51,10937.37,43.87086,9333.704,7730.036
162,88,11168.93,51.05182,9405.229,7641.525
163,72,11399.64,43.97829,9548.398,7697.153
164,88,11602.47,47.16267,9773.826,7945.178
165,78,11829.56,44.88881,10056.33,8283.104
166,75,12047.82,51.60239,10352.95,8658.07
167,71,12256.15,58.47149,10759.53,9262.91
168,72,12491.27,54.63958,10932.08,9372.886
169,80,12687.48,60.24858,10905.57,9123.654
170,75,12915.4,69.55411,10972.74,9030.086
171,78,13121.96,61.53434,11457.08,9792.204
172,83,13355.83,59.54407,11608.81,9861.782
173,89,13572.66,61.28532,11651.59,9730.516
174,94,13786.77,53.26873,12074.76,10362.74
175,89,13996.05,53.22075,12211.96,10427.88
176,78,14214.65,55.08035,12686.25,11157.84
177,76,14426.19,53.42435,12391.01,10355.83
178,79,14650.91,58.38306,12847.38,11043.85
179,75,14888.56,65.16638,13507.75,12126.95
180,89,15088.92,69.19646,13656.95,12224.98
181,75,15309.81,67.45071,13932.37,12554.93
182,65,15521.56,62.63079,13574.6,11627.63
183,44,15744.77,68.69107,14500.18,13255.59
184,34,15987.27,71.60025,14643.94,13300.6
185,32,16208.33,83.72768,15151.24,14094.15
186,37,16391.6,56.9045,15233.51,14075.42
187,28,16628.16,77.25182,15178.96,13729.77
188,27,16830.64,61.7851,15934.65,15038.66
189,18,17068.4,69.45887,16105.58,15142.76
190,11,17250.22,89.03333,16416.49,15582.77
191,14,17507.87,58.85744,16092.04,14676.21
192,6,17710.89,70.83026,16170.5,14630.12
193,10,17934.4,53.2268,15637.62,13340.84
194,5,18159.9,64.75596,16752.06,15344.22
195,6,18371.74,54.49699,17506.05,16640.37
196,5,18598.42,40.38553,18030.46,17462.5
197,4,18745.85,36.1067,18251.37,17756.9
198,4,18975.64,76.93379,18744.16,18512.69
199,5,19241.01,60.25957,18862.17,18483.33
200,3,19533.23,65.65689,19249.49,18965.76